adjective,noun,article,adj_article,llama_instruct_judgment
garden,sign,a,a,rarely
cream,cheese,,,rarely
hair,barrette,a,a,almost always
orange,zebra,a,an,never
bear,tooth,a,a,almost always
cheese,sauce,,,often
blood,checker,a,a,never
bright,leaf,a,a,sometimes
brown,ale,an,a,sometimes
red,sifter,a,a,rarely
color,leg,a,a,often
purple,light,a,a,rarely
wrap,present,a,a,almost always
frozen,lip,a,a,never
puppy,bark,a,a,often
letter,side,a,a,never
model,girl,a,a,often
horse,shoeing,a,a,always
coal,block,a,a,almost always
green,triangle,a,a,rarely
red,cap,a,a,sometimes
rectangle,door,a,a,always
purple,submarine,a,a,always
orange,bud,a,an,rarely
mommy,parrot,a,a,rarely
belly,button,a,a,never
round,carpet,a,a,rarely
orange,noodle,a,an,rarely
baby,tooth,a,a,often
plastic,lid,a,a,often
rain,umbrella,an,a,often
shore,island,an,a,rarely
brown,guy,a,a,almost always
cigarette,smoking,,,almost always
green,pea,a,a,often
bear,cookie,a,a,never
picnic,blanket,a,a,almost always
tobacco,jar,a,a,sometimes
baby,girl,a,a,almost always
outside,toy,a,an,always
pointy,fish,a,a,rarely
shoe,rack,a,a,often
bubble,game,a,a,almost always
head,pirate,a,a,about half the time
web,site,a,a,always
gold,medal,a,a,rarely
brake,dust,,,often
mama,deer,a,a,about half the time
bicycle,store,a,a,rarely
orange,peach,a,an,sometimes
red,seat,a,a,almost always
hay,stack,a,a,often
brown,trunk,a,a,often
brush,handle,a,a,often
family,room,a,a,almost always
orange,letter,a,an,rarely
grassy,field,a,a,almost always
fish,fin,a,a,always
stegosaurus,strike,a,a,never
knight,costume,a,a,often
executive,committee,a,an,sometimes
potato,scoop,a,a,never
red,star,a,a,often
cannon,ball,a,a,almost always
flat,house,a,a,almost always
trash,can,a,a,rarely
yellow,blanket,a,a,sometimes
green,shovel,a,a,often
cardboard,house,a,a,never
round,wall,a,a,rarely
red,edge,an,a,never
orange,train,a,an,almost always
wooden,leg,a,a,often
pink,bottle,a,a,rarely
tip,toe,a,a,almost always
purple,crayon,a,a,sometimes
building,marker,a,a,sometimes
red,card,a,a,often
mommy,hand,a,a,never
tea,pickle,a,a,rarely
baby,alligator,an,a,sometimes
jelly,bagel,a,a,sometimes
hot,stove,a,a,almost always
cable,run,a,a,about half the time
purple,reindeer,a,a,never
yellow,roller,a,a,almost always
green,yogurt,,,almost always
grey,label,a,a,often
pink,scarf,a,a,sometimes
hairless,cat,a,a,rarely
hand,washing,,,sometimes
teen,movie,a,a,often
fuel,tank,a,a,about half the time
brown,monkey,a,a,often
red,pea,a,a,often
apple,core,a,an,always
walking,stick,a,a,sometimes
fuzzy,blanket,a,a,often
wet,hand,a,a,rarely
red,bow,a,a,often
slave,driver,a,a,rarely
yellow,leg,a,a,rarely
organ,pipe,a,an,almost always
farmer,man,a,a,sometimes
pink,rectangle,a,a,rarely
ear,hole,a,an,always
ice,box,a,an,almost always
yogurt,raisin,a,a,rarely
pink,lip,a,a,almost always
grey,cap,a,a,sometimes
orange,button,a,an,rarely
dark,glasses,,,always
top,model,a,a,often
floor,tiling,,,always
fruit,cake,a,a,sometimes
squirt,guns,a,a,often
pencil,case,a,a,often
purple,shovel,a,a,rarely
red,rod,a,a,always
yellow,triangle,a,a,sometimes
red,leaf,a,a,about half the time
red,square,a,a,sometimes
dark,yard,a,a,rarely
dance,floor,a,a,almost always
furry,puppy,a,a,almost always
orange,container,a,an,rarely
daddy,picture,a,a,never
pickle,sandwich,a,a,sometimes
station,sign,a,a,often
sweet,packet,a,a,often
bright,hair,,,rarely
fire,engine,an,a,rarely
whale,shark,a,a,never
bald,eagle,an,a,about half the time
square,piece,a,a,almost always
cream,sandwich,a,a,rarely
locked,door,a,a,sometimes
yellow,elephant,an,a,never
bubble,clown,a,a,rarely
toy,board,a,a,often
scout,tent,a,a,about half the time
yellow,piggie,a,a,often
green,fish,a,a,sometimes
giant,one,a,a,rarely
market,day,a,a,rarely
school,call,a,a,almost always
acid,soil,,,sometimes
sweet,person,a,a,almost always
quarter,motor,a,a,never
granola,bar,a,a,almost always
bunny,hole,a,a,often
wine,purse,a,a,rarely
freeze,tag,a,a,often
yellow,colors,a,a,often
boy,drink,a,a,rarely
finger,food,,,often
purple,ark,an,a,almost always
boat,singing,,,never
bloody,day,a,a,rarely
pottery,room,a,a,rarely
chicken,mushroom,a,a,often
giant,potato,a,a,rarely
color,orange,an,a,almost always
round,glasses,,,about half the time
wildlife,park,a,a,rarely
child,seat,a,a,often
sweet,home,a,a,often
hair,day,a,a,rarely
dozen,egg,an,a,always
doggy,bin,a,a,often
dinosaur,blanket,a,a,rarely
wall,light,a,a,often
school,playground,a,a,almost always
red,bead,a,a,sometimes
paper,boy,a,a,often
purple,worm,a,a,never
sleep,walking,,,rarely
dirty,car,a,a,often
blind,mommy,a,a,rarely
sugar,spoon,a,a,rarely
key,lock,a,a,almost always
dirty,pillow,a,a,never
kitchen,light,a,a,often
night,cream,,,sometimes
round,tablet,a,a,rarely
tennis,ball,a,a,about half the time
green,scissors,,,often
grilled,cheese,,,almost always
rainbow,parrot,a,a,rarely
pool,table,a,a,rarely
call,box,a,a,never
female,crab,a,a,about half the time
board,book,a,a,never
bridesmaid,dress,a,a,sometimes
oatmeal,breakfast,a,an,almost always
teddy,snack,a,a,always
red,cone,a,a,rarely
cheese,sandwich,a,a,sometimes
mama,duck,a,a,often
round,penny,a,a,almost always
chain,saw,a,a,rarely
holly,leaf,a,a,about half the time
ginger,wine,,,sometimes
flat,floor,a,a,almost always
woman,sitting,a,a,about half the time
kettle,boiling,,,always
grassy,piece,a,a,almost always
flower,border,a,a,often
yellow,star,a,a,about half the time
oil,taste,a,an,rarely
orange,taste,a,an,almost always
steam,roller,a,a,sometimes
jazz,band,a,a,sometimes
fish,net,a,a,often
baby,dinosaur,a,a,almost always
furry,duck,a,a,never
dance,room,a,a,rarely
green,diamond,a,a,rarely
alligator,green,,,always
soy,milk,,,rarely
fuzzy,poodle,a,a,almost always
girl,toy,a,a,almost always
orange,tower,a,an,never
red,face,a,a,sometimes
shot,guns,a,a,often
music,box,a,a,rarely
fat,leg,a,a,often
yellow,pail,a,a,sometimes
baking,bread,,,always
cocktail,bar,a,a,often
pirate,beard,a,a,often
red,hair,,,rarely
drum,body,a,a,always
hand,dress,a,a,never
breakfast,bar,a,a,rarely
dough,rise,a,a,almost always
seedless,grape,a,a,often
television,licence,a,a,almost always
toy,soldier,a,a,often
woman,show,a,a,rarely
dark,brown,,,often
frog,umbrella,an,a,almost always
wing,color,a,a,rarely
flip,flop,a,a,almost always
green,honey,,,never
strawberry,milk,,,rarely
dark,food,,,sometimes
wet,baby,a,a,often
bunny,show,a,a,rarely
giant,seal,a,a,rarely
snack,honey,,,often
ferry,boat,a,a,rarely
pink,juice,,,sometimes
school,day,a,a,almost always
navy,sweater,a,a,sometimes
milk,bottle,a,a,often
pirate,station,a,a,rarely
yellow,shovel,a,a,sometimes
flower,seed,a,a,almost always
picnic,basket,a,a,often
fish,song,a,a,rarely
orange,finger,a,an,rarely
paint,stamping,,,almost always
bright,child,a,a,always
round,knob,a,a,often
attic,bedroom,a,an,often
orange,collection,a,an,rarely
driving,horse,a,a,sometimes
thick,one,a,a,often
fish,cake,a,a,rarely
plastic,edging,,,about half the time
outside,building,a,an,almost always
pie,baking,,,sometimes
giant,dog,a,a,sometimes
singing,song,a,a,often
cat,food,,,almost always
office,clerk,a,an,almost always
guitar,player,a,a,often
dark,purple,,,often
fire,pole,a,a,almost always
sweat,shirt,a,a,about half the time
iron,board,a,an,often
wooden,stair,a,a,always
pink,lipstick,,,often
green,container,a,a,sometimes
bubble,gun,a,a,almost always
yellow,airplane,an,a,never
yellow,lion,a,a,always
back,leg,a,a,never
leg,bone,a,a,almost always
salad,sandwich,a,a,rarely
red,gate,a,a,rarely
orange,eye,an,an,rarely
girl,potty,a,a,almost always
dinosaur,arm,an,a,always
orange,boat,a,an,rarely
yellow,marker,a,a,almost always
whey,curd,a,a,often
fat,piggie,a,a,often
red,box,a,a,rarely
office,girl,a,an,about half the time
gold,sky,a,a,never
electronics,firm,a,an,sometimes
chair,seat,a,a,almost always
dirty,guy,a,a,almost always
metallic,bronze,,,always
yellow,arrow,an,a,sometimes
owl,book,a,an,sometimes
juice,box,a,a,often
sweet,granny,a,a,almost always
dirty,spoon,a,a,often
snow,falling,,,always
dark,woods,,,often
pink,door,a,a,almost always
mermaid,leg,a,a,rarely
fat,guy,a,a,sometimes
wooden,shoe,a,a,sometimes
pink,lemonade,,,almost always
show,office,an,a,almost always
dolly,guy,a,a,rarely
green,jelly,,,sometimes
shoe,museum,a,a,never
assistant,manager,a,an,often
green,vacuum,a,a,rarely
yellow,track,a,a,almost always
skunk,salad,a,a,never
circle,piece,a,a,often
top,side,a,a,sometimes
water,pill,a,a,always
traffic,light,a,a,always
puppy,guy,a,a,sometimes
pink,sandal,a,a,rarely
kitty,litter,,,always
frown,face,a,a,rarely
grey,beard,a,a,often
gold,cap,a,a,often
dead,brain,a,a,never
stand,point,a,a,often
bear,pants,,,never
lunch,plate,a,a,always
candy,dish,a,a,often
bunny,mama,a,a,always
green,paper,a,a,rarely
mommy,baby,a,a,about half the time
octopus,tentacle,a,an,always
slide,honey,,,almost always
yellow,bin,a,a,almost always
fat,girl,a,a,rarely
draw,prize,a,a,always
round,hole,a,a,almost always
fire,side,a,a,almost always
grilled,sandwich,a,a,about half the time
purple,screw,a,a,rarely
flat,one,a,a,often
rain,shower,a,a,about half the time
wooden,trough,a,a,rarely
road,racing,,,often
orange,grey,,,rarely
daddy,dinosaur,a,a,never
shop,floor,a,a,often
potato,salad,a,a,often
gold,necklace,a,a,sometimes
family,day,a,a,almost always
mommy,talk,a,a,almost always
throw,pillow,a,a,almost always
baby,powder,,,always
spray,bubble,a,a,almost always
pink,purse,a,a,rarely
onion,sandwich,a,an,rarely
rum,truffle,a,a,rarely
pink,leg,a,a,almost always
kid,book,a,a,often
leather,case,a,a,sometimes
orange,hand,a,an,rarely
green,tea,,,sometimes
giant,fire,,,rarely
book,sticker,a,a,rarely
lollipop,wand,a,a,often
forty,eight,an,a,never
gram,jar,a,a,never
coffee,pot,a,a,sometimes
tile,pattern,a,a,always
green,truck,a,a,rarely
baby,dish,a,a,never
cloth,heart,a,a,rarely
fruit,punch,a,a,often
dark,ring,a,a,almost always
green,eel,an,a,often
hamburger,meat,,,often
back,hoe,a,a,never
hot,tank,a,a,never
yellow,shelf,a,a,sometimes
purple,pear,a,a,rarely
sweet,shrimp,,,often
mud,pot,a,a,often
bell,sticker,a,a,never
brandy,butter,,,rarely
pink,car,a,a,rarely
spanking,spot,a,a,never
yellow,grey,,,never
ball,player,a,a,almost always
checkout,girl,a,a,almost always
cut,bread,,,often
plastic,wrap,a,a,almost always
cooking,chocolate,,,almost always
orange,belt,a,an,rarely
purple,pickle,a,a,often
yellow,fat,,,about half the time
wheat,cookie,a,a,often
oyster,cracker,a,an,sometimes
elephant,scale,a,an,never
yellow,cap,a,a,sometimes
oval,piece,a,an,almost always
flag,drawer,a,a,never
elephant,toy,a,an,rarely
grocery,list,a,a,often
red,diamond,a,a,rarely
outside,wind,,,often
sail,boat,a,a,often
round,wheel,a,a,almost always
bunny,slipper,a,a,often
hot,sandwich,a,a,sometimes
cub,group,a,a,almost always
gym,shoe,a,a,about half the time
brother,bunny,a,a,almost always
orange,car,a,an,rarely
banana,sundae,a,a,rarely
ladies,mother,a,a,always
pirate,land,,,rarely
beetle,family,a,a,always
door,casing,a,a,often
mauve,ring,a,a,rarely
hot,book,a,a,rarely
nut,juice,,,rarely
octopus,talon,a,an,rarely
cash,book,a,a,rarely
motor,bridge,a,a,rarely
oatmeal,raisin,a,an,almost always
red,digger,a,a,often
page,boy,a,a,almost always
metal,edge,an,a,almost always
top,butter,,,always
bright,boy,a,a,almost always
round,sun,,,almost always
car,tire,a,a,sometimes
gas,man,a,a,almost always
green,spoon,a,a,sometimes
hail,storm,a,a,sometimes
yellow,noodle,a,a,sometimes
taller,tower,a,a,almost always
uniform,skirt,a,a,about half the time
sunset,sky,a,a,almost always
firework,factory,a,a,rarely
naked,girl,a,a,almost always
fish,stick,a,a,never
red,cow,a,a,rarely
pink,nose,a,a,almost always
fat,bird,a,a,rarely
red,corner,a,a,rarely
green,hand,a,a,rarely
yellow,coat,a,a,sometimes
forty,inch,an,a,never
pink,eye,an,a,often
pink,hippo,a,a,rarely
stain,varnish,,,never
hot,blanket,a,a,rarely
house,spider,a,a,sometimes
swimming,pool,a,a,always
mama,hat,a,a,always
taller,ceiling,a,a,often
police,guard,a,a,almost always
giant,sundial,a,a,rarely
putty,hand,a,a,always
mud,trail,a,a,rarely
circus,baby,a,a,never
furry,guy,a,a,rarely
oatmeal,bowl,a,an,sometimes
green,heart,a,a,rarely
sugar,fat,,,sometimes
orange,structure,a,an,almost always
hot,whisky,,,rarely
outside,theater,a,an,rarely
grey,snow,,,rarely
phone,call,a,a,almost always
bug,book,a,a,rarely
charcoal,grill,a,a,sometimes
stairs,toy,a,a,never
purple,sandbox,a,a,rarely
frog,hat,a,a,rarely
yellow,radiator,a,a,rarely
purple,chalk,,,sometimes
green,turtle,a,a,often
chocolate,dough,,,almost always
pink,edge,an,a,never
girl,bunny,a,a,almost always
tennis,shoe,a,a,never
pork,chop,a,a,about half the time
pillar,box,a,a,never
orange,juice,,,often
plastic,wateringcan,a,a,often
pink,shirt,a,a,about half the time
muffin,man,a,a,rarely
dragon,piece,a,a,never
bar,lounge,a,a,about half the time
baby,carrot,a,a,often
corn,cookie,a,a,almost always
cream,cone,a,a,rarely
mama,lion,a,a,about half the time
plant,house,a,a,never
light,weight,a,a,often
bear,costume,a,a,sometimes
cheese,bag,a,a,rarely
dirty,floor,a,a,rarely
yellow,crayon,a,a,rarely
fish,seafood,,,almost always
picture,window,a,a,often
goldfish,jumping,,,never
bowler,hat,a,a,rarely
draw,ticket,a,a,almost always
hive,bee,a,a,almost always
smoke,tablet,a,a,rarely
baby,puppy,a,a,almost always
picture,card,a,a,always
child,person,a,a,always
green,tree,a,a,often
cheese,stick,a,a,almost always
fork,lift,a,a,almost always
peach,cobbler,a,a,never
toast,cheese,,,rarely
purple,grey,,,never
shoe,shop,a,a,almost always
orange,tractor,a,an,often
flat,box,a,a,always
yellow,lemon,a,a,often
toy,house,a,a,never
red,gravy,,,almost always
grill,pan,a,a,often
toy,block,a,a,often
bear,face,a,a,rarely
terrace,house,a,a,always
red,plate,a,a,rarely
apple,pie,a,an,often
hot,food,,,almost always
wooden,box,a,a,often
daddy,tiger,a,a,almost always
green,sword,a,a,rarely
fatty,lady,a,a,rarely
rain,forest,a,a,often
jelly,bean,a,a,often
casserole,dish,a,a,sometimes
baby,seat,a,a,often
butt,cheek,a,a,almost always
licorice,snack,a,a,sometimes
green,box,a,a,sometimes
hot,cream,,,rarely
wood,chip,a,a,rarely
cooking,meal,a,a,rarely
round,puzzle,a,a,always
magnet,toy,a,a,rarely
sketchbook,pad,a,a,often
slippery,bug,a,a,always
phone,card,a,a,rarely
puzzle,game,a,a,about half the time
sleeveless,suit,a,a,rarely
dark,orange,an,a,almost always
camping,school,a,a,never
daddy,bear,a,a,often
fish,dinner,a,a,always
room,closet,a,a,rarely
purple,arm,an,a,never
calendar,date,a,a,always
pink,cookie,a,a,rarely
trash,bin,a,a,often
honey,bee,a,a,almost always
yellow,honey,,,often
pinky,toe,a,a,often
bright,colors,a,a,often
red,truck,a,a,sometimes
rail,road,a,a,never
hot,date,a,a,almost always
light,grate,a,a,sometimes
dead,cereal,,,almost always
letter,factory,a,a,rarely
baby,animal,an,a,almost always
yellow,lemonade,,,almost always
green,paint,,,sometimes
lawn,mower,a,a,often
tape,head,a,a,often
dill,pickle,a,a,often
chocolate,frog,a,a,rarely
mud,pit,a,a,often
green,grey,,,rarely
rusty,nail,a,a,sometimes
text,book,a,a,sometimes
sunny,road,a,a,often
hand,motor,a,a,almost always
machine,smock,a,a,rarely
lego,boy,a,a,about half the time
film,star,a,a,never
sugar,mama,a,a,almost always
baby,ice,,,rarely
red,shirt,a,a,about half the time
paint,tray,a,a,never
fat,finger,a,a,rarely
umbrella,stick,a,an,often
orange,apple,an,an,often
toddler,toy,a,a,sometimes
mama,bear,a,a,almost always
sugar,cookie,a,a,often
pink,limousine,a,a,rarely
yellow,butterfly,a,a,often
round,side,a,a,sometimes
turtle,brown,,,often
ball,bat,a,a,often
pussy,hair,,,almost always
puppy,blanket,a,a,about half the time
dead,bug,a,a,rarely
color,circle,a,a,often
hot,oil,,,often
rope,walker,a,a,rarely
walking,boot,a,a,often
bird,bath,a,a,almost always
family,exercise,an,a,almost always
key,chain,a,a,almost always
dressing,room,a,a,about half the time
round,egg,an,a,always
meat,sandwich,a,a,often
kissing,hand,a,a,rarely
fish,bowl,a,a,often
bubble,flavor,a,a,often
spider,leg,a,a,often
lego,person,a,a,never
railway,line,a,a,often
marble,flooring,,,almost always
veggie,cheese,,,rarely
mail,box,a,a,rarely
gum,drop,a,a,almost always
fish,eye,an,a,never
bear,hunter,a,a,often
mutant,toy,a,a,rarely
birth,month,a,a,almost always
purple,balloon,a,a,about half the time
purple,phone,a,a,rarely
floor,board,a,a,often
brother,chick,a,a,never
hot,bag,a,a,never
record,player,a,a,always
pink,whale,a,a,rarely
dirty,milk,,,rarely
frog,girl,a,a,never
cream,truck,a,a,almost always
feather,painting,a,a,almost always
outside,shoe,a,an,almost always
red,piece,a,a,almost always
strawberry,chocolate,,,rarely
braid,hair,,,almost always
orange,sugar,,,rarely
face,cake,a,a,sometimes
net,curtain,a,a,often
lady,toy,a,a,rarely
pink,cap,a,a,rarely
breaking,limb,a,a,never
red,tree,a,a,rarely
daddy,cow,a,a,never
painting,bib,a,a,rarely
broken,tool,a,a,rarely
circus,police,,,never
silky,thread,a,a,often
pink,dress,a,a,almost always
crusty,top,a,a,often
brown,shorts,,,often
baby,goat,a,a,about half the time
fat,milk,,,often
foil,tray,a,a,often
prize,game,a,a,rarely
vitamin,pill,a,a,sometimes
dark,lollipop,a,a,often
sea,picture,a,a,sometimes
purple,pepper,a,a,rarely
breakfast,cereal,,,always
milk,mustache,a,a,never
red,wine,,,often
red,milk,,,never
fruit,stall,a,a,often
fuzzy,flower,a,a,rarely
hot,cloth,a,a,rarely
junction,box,a,a,about half the time
yellow,bus,a,a,almost always
music,hall,a,a,often
cooking,breakfast,a,a,often
fish,game,a,a,rarely
girl,deer,a,a,sometimes
purple,puppy,a,a,never
brake,drum,a,a,often
yogurt,juice,,,never
baby,owl,an,a,often
bakery,bread,,,almost always
cheese,slice,a,a,often
table,leg,a,a,never
turtle,orange,an,a,rarely
conveyor,belt,a,a,rarely
fat,marker,a,a,almost always
snow,fight,a,a,never
fishing,hole,a,a,almost always
burnt,rubber,,,almost always
hot,honey,,,rarely
snow,night,a,a,sometimes
hot,sausage,a,a,often
round,clock,a,a,almost always
pear,tree,a,a,rarely
green,stool,a,a,rarely
pink,stair,a,a,never
carat,ring,a,a,almost always
fur,coat,a,a,rarely
skate,boarding,,,often
fold,laundry,,,often
closet,chair,a,a,never
giant,belt,a,a,rarely
library,tray,a,a,rarely
pink,tool,a,a,rarely
magazine,rack,a,a,often
car,station,a,a,never
sea,turtle,a,a,sometimes
material,flower,a,a,never
baby,seal,a,a,about half the time
pirate,costume,a,a,often
cow,boy,a,a,rarely
yellow,paint,,,about half the time
toy,baby,a,a,almost always
solid,tape,a,a,always
yellow,balloon,a,a,sometimes
wet,face,a,a,rarely
orange,hamster,a,an,often
green,hair,,,rarely
water,kitty,a,a,almost always
hot,pattern,a,a,often
purple,dude,a,a,never
hot,fan,a,a,almost always
bottom,jaw,a,a,always
gold,bag,a,a,almost always
stud,dog,a,a,rarely
purple,wiggle,a,a,always
bright,tomato,a,a,often
night,raccoon,a,a,never
marmalade,fish,a,a,often
wedding,ring,a,a,about half the time
twin,room,a,a,about half the time
wiggle,worm,a,a,almost always
breakfast,egg,an,a,almost always
fishing,rod,a,a,often
yellow,cup,a,a,sometimes
foam,piece,a,a,often
aluminum,rod,a,an,often
plastic,tray,a,a,sometimes
gas,mask,a,a,about half the time
yellow,wing,a,a,rarely
hot,ice,,,never
paint,shirt,a,a,sometimes
red,shoe,a,a,rarely
coffee,break,a,a,often
cuckoo,clock,a,a,rarely
girl,cup,a,a,never
toucan,bird,a,a,rarely
green,pencil,a,a,rarely
family,feast,a,a,often
circus,bus,a,a,rarely
money,machine,a,a,often
elephant,brooch,a,an,rarely
elephant,crying,,,never
spiral,grip,a,a,rarely
furry,cat,a,a,almost always
baby,cup,a,a,often
paper,cut,a,a,often
toy,bag,a,a,about half the time
car,carrier,a,a,almost always
tree,top,a,a,almost always
fat,cat,a,a,about half the time
suction,cup,a,a,about half the time
red,licorice,,,often
wet,suit,a,a,never
hot,car,a,a,rarely
outside,piece,a,an,often
pink,suit,a,a,rarely
tennis,racket,a,a,almost always
green,cookie,a,a,rarely
flying,dragon,a,a,always
dog,dance,a,a,never
bunny,jumping,,,often
ultrasound,picture,a,an,almost always
sliced,potato,a,a,almost always
giant,tower,a,a,almost always
male,lead,a,a,almost always
velvet,slipper,a,a,rarely
frog,jump,a,a,often
push,bike,a,a,almost always
face,guy,a,a,often
ant,block,a,an,always
tile,floor,a,a,often
bouncing,spot,a,a,never
turtle,hat,a,a,rarely
plastic,truck,a,a,often
baby,eagle,an,a,rarely
red,ocean,an,a,almost always
ball,man,a,a,about half the time
wet,road,a,a,often
furry,coach,a,a,never
red,bracelet,a,a,rarely
red,candy,,,often
shower,curtain,a,a,often
jacket,top,a,a,rarely
cough,drop,a,a,often
fish,egg,an,a,rarely
picnic,table,a,a,rarely
elf,talk,a,an,never
one,piece,a,a,almost always
yellow,ribbon,a,a,often
yellow,feather,a,a,about half the time
red,juice,,,often
worm,poop,,,rarely
home,page,a,a,almost always
strawberry,yogurt,,,sometimes
triangle,toast,,,rarely
sperm,cell,a,a,rarely
puppy,print,a,a,almost always
bottom,light,a,a,never
red,gym,a,a,rarely
green,carrot,a,a,rarely
yellow,knee,a,a,never
purple,footprint,a,a,rarely
hot,shake,a,a,never
teddy,home,a,a,almost always
twin,tub,a,a,almost always
diaper,baby,a,a,always
back,plate,a,a,never
hot,piece,a,a,almost always
red,bottom,a,a,always
red,tongue,a,a,often
ball,bunny,a,a,rarely
red,green,,,never
bear,growl,a,a,almost always
door,speaker,a,a,almost always
purple,room,a,a,never
prawn,cocktail,a,a,about half the time
boy,bed,a,a,rarely
brown,sweater,a,a,sometimes
chocolate,cookie,a,a,about half the time
surface,dwelling,a,a,almost always
purple,jacket,a,a,rarely
red,snake,a,a,always
mommy,cup,a,a,rarely
octopus,spying,,,rarely
animal,picture,a,an,sometimes
pond,deer,a,a,never
children,slip,a,a,rarely
dark,pink,,,often
army,man,a,an,rarely
bean,bag,a,a,always
dirty,mouse,a,a,almost always
sweatshirt,top,a,a,about half the time
tuna,fish,a,a,rarely
night,sign,a,a,sometimes
burger,bar,a,a,sometimes
penguin,body,a,a,often
cream,chocolate,,,often
dolphin,show,a,a,rarely
hot,wax,,,almost always
wet,spot,a,a,always
furry,gorilla,a,a,almost always
stuffed,puppy,a,a,always
scout,badge,a,a,often
blowing,kiss,a,a,often
dead,leaf,a,a,sometimes
thick,noodle,a,a,often
bubble,blower,a,a,rarely
purple,bird,a,a,rarely
brown,tree,a,a,often
fire,station,a,a,often
mama,rabbit,a,a,often
square,box,a,a,almost always
garbage,truck,a,a,rarely
red,oval,an,a,rarely
bank,manager,a,a,often
top,lip,a,a,always
red,butterfly,a,a,rarely
farm,book,a,a,rarely
welding,rod,a,a,often
nylon,bag,a,a,sometimes
purple,ear,an,a,never
ballet,slipper,a,a,sometimes
ball,mitt,a,a,almost always
boy,mouth,a,a,sometimes
sycamore,tree,a,a,sometimes
wet,shirt,a,a,sometimes
roll,marble,a,a,rarely
giant,ball,a,a,rarely
purple,cow,a,a,rarely
poison,rattlesnake,a,a,about half the time
color,green,,,always
cupboard,door,a,a,often
brown,piece,a,a,often
singing,contest,a,a,sometimes
yellow,head,a,a,almost always
furry,teddy,a,a,about half the time
dirty,corner,a,a,often
dish,wash,a,a,almost always
bright,crayon,a,a,often
concrete,path,a,a,often
green,block,a,a,rarely
wet,panty,a,a,rarely
railroad,track,a,a,almost always
ninja,turtle,a,a,always
green,bed,a,a,rarely
heart,muscle,a,a,always
purple,salad,a,a,sometimes
foot,piece,a,a,almost always
baby,jogger,a,a,rarely
street,car,a,a,always
hall,closet,a,a,often
yellow,chair,a,a,sometimes
furry,costume,a,a,never
soap,bottle,a,a,rarely
grey,shorts,,,rarely
mommy,bear,a,a,often
blind,spot,a,a,almost always
purple,kangaroo,a,a,never
house,beam,a,a,often
castle,book,a,a,rarely
rectangle,book,a,a,almost always
sand,block,a,a,often
cement,truck,a,a,rarely
grey,cat,a,a,about half the time
oven,mitt,a,an,about half the time
fruit,shop,a,a,rarely
muscle,man,a,a,often
giant,gorilla,a,a,sometimes
shadow,line,a,a,rarely
strawberry,patch,a,a,often
movie,theater,a,a,often
cat,litter,,,always
snow,melt,a,a,often
dark,light,a,a,never
elephant,book,a,an,rarely
yellow,cartridge,a,a,often
food,card,a,a,never
round,hoop,a,a,almost always
pink,sand,,,rarely
yellow,box,a,a,almost always
light,beam,a,a,often
fish,sticker,a,a,rarely
baby,alarm,an,a,almost always
foot,radiator,a,a,often
foot,pruner,a,a,never
raspberry,patch,a,a,sometimes
pine,tree,a,a,sometimes
purple,cap,a,a,rarely
block,house,a,a,often
ant,trap,a,an,never
orange,drop,a,an,never
wooden,track,a,a,sometimes
petrol,tank,a,a,almost always
caramel,cluster,a,a,rarely
shrub,border,a,a,often
pointy,tip,a,a,almost always
car,park,a,a,never
aphid,sandwich,a,an,never
yellow,neon,,,rarely
bubble,world,a,a,always
yellow,horse,a,a,almost always
ostrich,leg,a,an,almost always
coffee,grinder,a,a,often
skunk,stew,a,a,never
red,bat,a,a,sometimes
video,recorder,a,a,never
wet,mommy,a,a,always
pita,bread,,,rarely
striped,worm,a,a,sometimes
bum,worker,a,a,rarely
hot,day,a,a,often
silk,worm,a,a,almost always
fish,market,a,a,about half the time
water,bridge,a,a,rarely
purple,fish,a,a,rarely
lace,cover,a,a,sometimes
sugar,water,,,rarely
flat,mat,a,a,almost always
wife,battering,a,a,almost always
slippery,soap,,,almost always
paper,airplane,an,a,rarely
olive,oil,,,almost always
sweet,sauce,,,often
blind,eye,an,a,always
people,zombie,a,a,almost always
bedroom,room,a,a,almost always
soy,sauce,,,sometimes
sea,mammal,a,a,rarely
silky,ear,an,a,always
church,minister,a,a,always
red,paper,a,a,rarely
dirty,laundry,,,always
bubble,blow,a,a,never
wooden,sword,a,a,rarely
flat,land,,,rarely
pink,ring,a,a,rarely
boy,pants,,,almost always
popcorn,maker,a,a,rarely
dress,clothes,,,often
school,bus,a,a,sometimes
fat,baby,a,a,often
furniture,shop,a,a,rarely
pull,toy,a,a,often
brown,squirrel,a,a,often
farm,truck,a,a,sometimes
curry,rice,,,often
vanilla,cookie,a,a,often
red,block,a,a,almost always
round,ball,a,a,always
green,chest,a,a,never
people,group,a,a,almost always
train,yard,a,a,often
aquarium,car,a,an,never
mural,show,a,a,never
daddy,kiss,a,a,almost always
squid,soda,,,never
red,wing,a,a,sometimes
food,group,a,a,almost always
thick,head,a,a,often
sweet,pepper,a,a,almost always
yellow,collar,a,a,almost always
yellow,chick,a,a,almost always
striped,fish,a,a,about half the time
wooden,spoon,a,a,rarely
red,boot,a,a,rarely
green,money,,,almost always
fuzzy,tail,a,a,often
purple,color,a,a,always
fold,blanket,a,a,about half the time
yellow,bib,a,a,never
upstairs,cafe,a,an,rarely
game,mommy,a,a,rarely
