adjective,noun,article,adj_article,llama_405b_instruct_judgment
yellow,match,a,a,almost always
student,nurse,a,a,often
baby,cat,a,a,rarely
orange,ball,a,an,almost always
firehouse,lunch,a,a,rarely
red,tractor,a,a,sometimes
bowling,alley,an,a,rarely
snow,ball,a,a,almost always
pink,teddy,a,a,never
toy,man,a,a,rarely
purple,mouse,a,a,never
baby,bath,a,a,rarely
green,house,a,a,rarely
red,dandelion,a,a,rarely
frozen,shoulder,a,a,rarely
hot,milk,,,rarely
vinegar,bottle,a,a,rarely
color,book,a,a,sometimes
company,software,,,about half the time
red,border,a,a,sometimes
oak,tree,a,an,never
music,note,a,a,often
mommy,hair,,,often
top,branch,a,a,always
burglar,alarm,an,a,almost always
office,key,a,an,often
green,toe,a,a,rarely
movie,channel,a,a,never
dune,buggy,a,a,almost always
yellow,green,,,often
red,pig,a,a,sometimes
exterior,light,a,an,sometimes
plastics,company,a,a,about half the time
yellow,chalk,,,about half the time
baby,clothes,,,rarely
park,parade,a,a,never
bike,ride,a,a,often
car,seat,a,a,never
hot,doggy,a,a,rarely
pink,sock,a,a,sometimes
green,dress,a,a,about half the time
sea,shell,a,a,always
copy,cat,a,a,always
yellow,square,a,a,never
wall,drawer,a,a,almost always
maple,sugar,,,rarely
snow,hill,a,a,never
sky,color,a,a,always
day,school,a,a,almost always
vanilla,wafer,a,a,about half the time
peacock,feather,a,a,rarely
flat,fish,a,a,often
garden,sign,a,a,rarely
cream,cheese,,,rarely
hair,barrette,a,a,almost always
orange,zebra,a,an,never
bear,tooth,a,a,never
cheese,sauce,,,sometimes
blood,checker,a,a,often
bright,leaf,a,a,sometimes
brown,ale,an,a,sometimes
red,sifter,a,a,never
color,leg,a,a,rarely
purple,light,a,a,rarely
wrap,present,a,a,almost always
frozen,lip,a,a,rarely
puppy,bark,a,a,rarely
letter,side,a,a,always
model,girl,a,a,rarely
horse,shoeing,a,a,never
coal,block,a,a,rarely
green,triangle,a,a,never
red,cap,a,a,rarely
rectangle,door,a,a,almost always
purple,submarine,a,a,rarely
orange,bud,a,an,rarely
mommy,parrot,a,a,sometimes
belly,button,a,a,always
round,carpet,a,a,rarely
orange,noodle,a,an,rarely
baby,tooth,a,a,often
plastic,lid,a,a,almost always
rain,umbrella,an,a,almost always
shore,island,an,a,often
brown,guy,a,a,sometimes
cigarette,smoking,,,always
green,pea,a,a,almost always
bear,cookie,a,a,sometimes
picnic,blanket,a,a,sometimes
tobacco,jar,a,a,sometimes
baby,girl,a,a,almost always
outside,toy,a,an,sometimes
pointy,fish,a,a,often
shoe,rack,a,a,about half the time
bubble,game,a,a,rarely
head,pirate,a,a,almost always
web,site,a,a,almost always
gold,medal,a,a,often
brake,dust,,,never
mama,deer,a,a,always
bicycle,store,a,a,rarely
orange,peach,a,an,never
red,seat,a,a,rarely
hay,stack,a,a,always
brown,trunk,a,a,often
brush,handle,a,a,often
family,room,a,a,about half the time
orange,letter,a,an,never
grassy,field,a,a,often
fish,fin,a,a,almost always
stegosaurus,strike,a,a,never
knight,costume,a,a,rarely
executive,committee,a,an,always
potato,scoop,a,a,almost always
red,star,a,a,almost always
cannon,ball,a,a,rarely
flat,house,a,a,never
trash,can,a,a,about half the time
yellow,blanket,a,a,rarely
green,shovel,a,a,rarely
cardboard,house,a,a,never
round,wall,a,a,rarely
red,edge,an,a,never
orange,train,a,an,rarely
wooden,leg,a,a,never
pink,bottle,a,a,rarely
tip,toe,a,a,often
purple,crayon,a,a,rarely
building,marker,a,a,never
red,card,a,a,about half the time
mommy,hand,a,a,never
tea,pickle,a,a,never
baby,alligator,an,a,rarely
jelly,bagel,a,a,sometimes
hot,stove,a,a,almost always
cable,run,a,a,rarely
purple,reindeer,a,a,never
yellow,roller,a,a,sometimes
green,yogurt,,,rarely
grey,label,a,a,almost always
pink,scarf,a,a,rarely
hairless,cat,a,a,rarely
hand,washing,,,almost always
teen,movie,a,a,rarely
fuel,tank,a,a,rarely
brown,monkey,a,a,almost always
red,pea,a,a,rarely
apple,core,a,an,always
walking,stick,a,a,rarely
fuzzy,blanket,a,a,never
wet,hand,a,a,almost always
red,bow,a,a,rarely
slave,driver,a,a,about half the time
yellow,leg,a,a,rarely
organ,pipe,a,an,sometimes
farmer,man,a,a,rarely
pink,rectangle,a,a,rarely
ear,hole,a,an,almost always
ice,box,a,an,never
yogurt,raisin,a,a,rarely
pink,lip,a,a,almost always
grey,cap,a,a,sometimes
orange,button,a,an,rarely
dark,glasses,,,rarely
top,model,a,a,rarely
floor,tiling,,,often
fruit,cake,a,a,rarely
squirt,guns,a,a,rarely
pencil,case,a,a,almost always
purple,shovel,a,a,rarely
red,rod,a,a,never
yellow,triangle,a,a,sometimes
red,leaf,a,a,rarely
red,square,a,a,about half the time
dark,yard,a,a,rarely
dance,floor,a,a,almost always
furry,puppy,a,a,almost always
orange,container,a,an,rarely
daddy,picture,a,a,never
pickle,sandwich,a,a,never
station,sign,a,a,rarely
sweet,packet,a,a,always
bright,hair,,,rarely
fire,engine,an,a,rarely
whale,shark,a,a,rarely
bald,eagle,an,a,rarely
square,piece,a,a,rarely
cream,sandwich,a,a,rarely
locked,door,a,a,about half the time
yellow,elephant,an,a,never
bubble,clown,a,a,never
toy,board,a,a,sometimes
scout,tent,a,a,about half the time
yellow,piggie,a,a,almost always
green,fish,a,a,often
giant,one,a,a,about half the time
market,day,a,a,often
school,call,a,a,about half the time
acid,soil,,,about half the time
sweet,person,a,a,often
quarter,motor,a,a,almost always
granola,bar,a,a,sometimes
bunny,hole,a,a,rarely
wine,purse,a,a,rarely
freeze,tag,a,a,never
yellow,colors,a,a,always
boy,drink,a,a,rarely
finger,food,,,sometimes
purple,ark,an,a,never
boat,singing,,,rarely
bloody,day,a,a,never
pottery,room,a,a,rarely
chicken,mushroom,a,a,never
giant,potato,a,a,never
color,orange,an,a,almost always
round,glasses,,,about half the time
wildlife,park,a,a,rarely
child,seat,a,a,sometimes
sweet,home,a,a,always
hair,day,a,a,rarely
dozen,egg,an,a,almost always
doggy,bin,a,a,often
dinosaur,blanket,a,a,rarely
wall,light,a,a,sometimes
school,playground,a,a,about half the time
red,bead,a,a,rarely
paper,boy,a,a,never
purple,worm,a,a,rarely
sleep,walking,,,rarely
dirty,car,a,a,often
blind,mommy,a,a,rarely
sugar,spoon,a,a,rarely
key,lock,a,a,almost always
dirty,pillow,a,a,sometimes
kitchen,light,a,a,about half the time
night,cream,,,always
round,tablet,a,a,never
tennis,ball,a,a,rarely
green,scissors,,,rarely
grilled,cheese,,,never
rainbow,parrot,a,a,rarely
pool,table,a,a,rarely
call,box,a,a,rarely
female,crab,a,a,about half the time
board,book,a,a,rarely
bridesmaid,dress,a,a,rarely
oatmeal,breakfast,a,an,rarely
teddy,snack,a,a,rarely
red,cone,a,a,about half the time
cheese,sandwich,a,a,often
mama,duck,a,a,sometimes
round,penny,a,a,always
chain,saw,a,a,sometimes
holly,leaf,a,a,rarely
ginger,wine,,,sometimes
flat,floor,a,a,almost always
woman,sitting,a,a,about half the time
kettle,boiling,,,almost always
grassy,piece,a,a,sometimes
flower,border,a,a,rarely
yellow,star,a,a,about half the time
oil,taste,a,an,rarely
orange,taste,a,an,often
steam,roller,a,a,almost always
jazz,band,a,a,rarely
fish,net,a,a,never
baby,dinosaur,a,a,never
furry,duck,a,a,never
dance,room,a,a,rarely
green,diamond,a,a,rarely
alligator,green,,,always
soy,milk,,,about half the time
fuzzy,poodle,a,a,almost always
girl,toy,a,a,about half the time
orange,tower,a,an,rarely
red,face,a,a,about half the time
shot,guns,a,a,sometimes
music,box,a,a,sometimes
fat,leg,a,a,almost always
yellow,pail,a,a,sometimes
baking,bread,,,almost always
cocktail,bar,a,a,sometimes
pirate,beard,a,a,almost always
red,hair,,,rarely
drum,body,a,a,about half the time
hand,dress,a,a,never
breakfast,bar,a,a,never
dough,rise,a,a,almost always
seedless,grape,a,a,often
television,licence,a,a,rarely
toy,soldier,a,a,always
woman,show,a,a,sometimes
dark,brown,,,often
frog,umbrella,an,a,never
wing,color,a,a,sometimes
flip,flop,a,a,almost always
green,honey,,,rarely
strawberry,milk,,,rarely
dark,food,,,sometimes
wet,baby,a,a,always
bunny,show,a,a,rarely
giant,seal,a,a,rarely
snack,honey,,,about half the time
ferry,boat,a,a,rarely
pink,juice,,,rarely
school,day,a,a,sometimes
navy,sweater,a,a,rarely
milk,bottle,a,a,sometimes
pirate,station,a,a,rarely
yellow,shovel,a,a,rarely
flower,seed,a,a,rarely
picnic,basket,a,a,sometimes
fish,song,a,a,never
orange,finger,a,an,never
paint,stamping,,,about half the time
bright,child,a,a,sometimes
round,knob,a,a,always
attic,bedroom,a,an,sometimes
orange,collection,a,an,rarely
driving,horse,a,a,rarely
thick,one,a,a,sometimes
fish,cake,a,a,rarely
plastic,edging,,,always
outside,building,a,an,almost always
pie,baking,,,sometimes
giant,dog,a,a,rarely
singing,song,a,a,almost always
cat,food,,,rarely
office,clerk,a,an,often
guitar,player,a,a,often
dark,purple,,,rarely
fire,pole,a,a,rarely
sweat,shirt,a,a,sometimes
iron,board,a,an,often
wooden,stair,a,a,about half the time
pink,lipstick,,,about half the time
green,container,a,a,rarely
bubble,gun,a,a,rarely
yellow,airplane,an,a,rarely
yellow,lion,a,a,rarely
back,leg,a,a,always
leg,bone,a,a,sometimes
salad,sandwich,a,a,about half the time
red,gate,a,a,rarely
orange,eye,an,an,rarely
girl,potty,a,a,sometimes
dinosaur,arm,an,a,never
orange,boat,a,an,rarely
yellow,marker,a,a,sometimes
whey,curd,a,a,always
fat,piggie,a,a,always
red,box,a,a,rarely
office,girl,a,an,about half the time
gold,sky,a,a,rarely
electronics,firm,a,an,sometimes
chair,seat,a,a,almost always
dirty,guy,a,a,rarely
metallic,bronze,,,almost always
yellow,arrow,an,a,never
owl,book,a,an,never
juice,box,a,a,sometimes
sweet,granny,a,a,almost always
dirty,spoon,a,a,sometimes
snow,falling,,,sometimes
dark,woods,,,often
pink,door,a,a,sometimes
mermaid,leg,a,a,never
fat,guy,a,a,sometimes
wooden,shoe,a,a,rarely
pink,lemonade,,,about half the time
show,office,an,a,sometimes
dolly,guy,a,a,almost always
green,jelly,,,never
shoe,museum,a,a,rarely
assistant,manager,a,an,never
green,vacuum,a,a,rarely
yellow,track,a,a,never
skunk,salad,a,a,never
circle,piece,a,a,about half the time
top,side,a,a,never
water,pill,a,a,never
traffic,light,a,a,sometimes
puppy,guy,a,a,sometimes
pink,sandal,a,a,rarely
kitty,litter,,,often
frown,face,a,a,rarely
grey,beard,a,a,often
gold,cap,a,a,never
dead,brain,a,a,almost always
stand,point,a,a,always
bear,pants,,,never
lunch,plate,a,a,never
candy,dish,a,a,rarely
bunny,mama,a,a,never
green,paper,a,a,rarely
mommy,baby,a,a,never
octopus,tentacle,a,an,almost always
slide,honey,,,always
yellow,bin,a,a,sometimes
fat,girl,a,a,about half the time
draw,prize,a,a,rarely
round,hole,a,a,always
fire,side,a,a,rarely
grilled,sandwich,a,a,rarely
purple,screw,a,a,rarely
flat,one,a,a,never
rain,shower,a,a,sometimes
wooden,trough,a,a,almost always
road,racing,,,almost always
orange,grey,,,never
daddy,dinosaur,a,a,sometimes
shop,floor,a,a,rarely
potato,salad,a,a,about half the time
gold,necklace,a,a,often
family,day,a,a,sometimes
mommy,talk,a,a,about half the time
throw,pillow,a,a,sometimes
baby,powder,,,about half the time
spray,bubble,a,a,always
pink,purse,a,a,about half the time
onion,sandwich,a,an,rarely
rum,truffle,a,a,rarely
pink,leg,a,a,rarely
kid,book,a,a,sometimes
leather,case,a,a,about half the time
orange,hand,a,an,rarely
green,tea,,,never
giant,fire,,,rarely
book,sticker,a,a,always
lollipop,wand,a,a,never
forty,eight,an,a,often
gram,jar,a,a,rarely
coffee,pot,a,a,rarely
tile,pattern,a,a,almost always
green,truck,a,a,rarely
baby,dish,a,a,rarely
cloth,heart,a,a,sometimes
fruit,punch,a,a,sometimes
dark,ring,a,a,never
green,eel,an,a,sometimes
hamburger,meat,,,sometimes
back,hoe,a,a,never
hot,tank,a,a,almost always
yellow,shelf,a,a,rarely
purple,pear,a,a,rarely
sweet,shrimp,,,about half the time
mud,pot,a,a,rarely
bell,sticker,a,a,rarely
brandy,butter,,,rarely
pink,car,a,a,rarely
spanking,spot,a,a,always
yellow,grey,,,rarely
ball,player,a,a,almost always
checkout,girl,a,a,rarely
cut,bread,,,always
plastic,wrap,a,a,almost always
cooking,chocolate,,,sometimes
orange,belt,a,an,rarely
purple,pickle,a,a,rarely
yellow,fat,,,rarely
wheat,cookie,a,a,never
oyster,cracker,a,an,about half the time
elephant,scale,a,an,never
yellow,cap,a,a,sometimes
oval,piece,a,an,never
flag,drawer,a,a,rarely
elephant,toy,a,an,rarely
grocery,list,a,a,sometimes
red,diamond,a,a,rarely
outside,wind,,,always
sail,boat,a,a,rarely
round,wheel,a,a,almost always
bunny,slipper,a,a,almost always
hot,sandwich,a,a,rarely
cub,group,a,a,sometimes
gym,shoe,a,a,often
brother,bunny,a,a,never
orange,car,a,an,rarely
banana,sundae,a,a,sometimes
ladies,mother,a,a,about half the time
pirate,land,,,never
beetle,family,a,a,always
door,casing,a,a,about half the time
mauve,ring,a,a,rarely
hot,book,a,a,rarely
nut,juice,,,rarely
octopus,talon,a,an,rarely
cash,book,a,a,rarely
motor,bridge,a,a,always
oatmeal,raisin,a,an,about half the time
red,digger,a,a,sometimes
page,boy,a,a,never
metal,edge,an,a,never
top,butter,,,never
bright,boy,a,a,often
round,sun,,,always
car,tire,a,a,often
gas,man,a,a,rarely
green,spoon,a,a,rarely
hail,storm,a,a,rarely
yellow,noodle,a,a,always
taller,tower,a,a,always
uniform,skirt,a,a,sometimes
sunset,sky,a,a,always
firework,factory,a,a,rarely
naked,girl,a,a,never
fish,stick,a,a,rarely
red,cow,a,a,rarely
pink,nose,a,a,almost always
fat,bird,a,a,always
red,corner,a,a,never
green,hand,a,a,never
yellow,coat,a,a,rarely
forty,inch,an,a,never
pink,eye,an,a,rarely
pink,hippo,a,a,never
stain,varnish,,,sometimes
hot,blanket,a,a,sometimes
house,spider,a,a,sometimes
swimming,pool,a,a,almost always
mama,hat,a,a,never
taller,ceiling,a,a,almost always
police,guard,a,a,almost always
giant,sundial,a,a,rarely
putty,hand,a,a,rarely
mud,trail,a,a,sometimes
circus,baby,a,a,never
furry,guy,a,a,rarely
oatmeal,bowl,a,an,never
green,heart,a,a,never
sugar,fat,,,almost always
orange,structure,a,an,rarely
hot,whisky,,,rarely
outside,theater,a,an,almost always
grey,snow,,,about half the time
phone,call,a,a,almost always
bug,book,a,a,rarely
charcoal,grill,a,a,always
stairs,toy,a,a,rarely
purple,sandbox,a,a,never
frog,hat,a,a,rarely
yellow,radiator,a,a,never
purple,chalk,,,rarely
green,turtle,a,a,almost always
chocolate,dough,,,almost always
pink,edge,an,a,never
girl,bunny,a,a,about half the time
tennis,shoe,a,a,sometimes
pork,chop,a,a,almost always
pillar,box,a,a,always
orange,juice,,,often
plastic,wateringcan,a,a,about half the time
pink,shirt,a,a,rarely
muffin,man,a,a,rarely
dragon,piece,a,a,never
bar,lounge,a,a,always
baby,carrot,a,a,about half the time
corn,cookie,a,a,rarely
cream,cone,a,a,often
mama,lion,a,a,always
plant,house,a,a,never
light,weight,a,a,rarely
bear,costume,a,a,rarely
cheese,bag,a,a,never
dirty,floor,a,a,sometimes
yellow,crayon,a,a,rarely
fish,seafood,,,almost always
picture,window,a,a,rarely
goldfish,jumping,,,almost always
bowler,hat,a,a,rarely
draw,ticket,a,a,often
hive,bee,a,a,almost always
smoke,tablet,a,a,rarely
baby,puppy,a,a,always
picture,card,a,a,rarely
child,person,a,a,about half the time
green,tree,a,a,almost always
cheese,stick,a,a,rarely
fork,lift,a,a,rarely
peach,cobbler,a,a,always
toast,cheese,,,almost always
purple,grey,,,almost always
shoe,shop,a,a,rarely
orange,tractor,a,an,sometimes
flat,box,a,a,rarely
yellow,lemon,a,a,almost always
toy,house,a,a,rarely
red,gravy,,,sometimes
grill,pan,a,a,sometimes
toy,block,a,a,almost always
bear,face,a,a,never
terrace,house,a,a,sometimes
red,plate,a,a,rarely
apple,pie,a,an,often
hot,food,,,about half the time
wooden,box,a,a,never
daddy,tiger,a,a,always
green,sword,a,a,rarely
fatty,lady,a,a,rarely
rain,forest,a,a,rarely
jelly,bean,a,a,always
casserole,dish,a,a,often
baby,seat,a,a,rarely
butt,cheek,a,a,about half the time
licorice,snack,a,a,rarely
green,box,a,a,rarely
hot,cream,,,almost always
wood,chip,a,a,always
cooking,meal,a,a,almost always
round,puzzle,a,a,rarely
magnet,toy,a,a,rarely
sketchbook,pad,a,a,often
slippery,bug,a,a,almost always
phone,card,a,a,never
puzzle,game,a,a,sometimes
sleeveless,suit,a,a,never
dark,orange,an,a,rarely
camping,school,a,a,never
daddy,bear,a,a,never
fish,dinner,a,a,sometimes
room,closet,a,a,always
purple,arm,an,a,rarely
calendar,date,a,a,always
pink,cookie,a,a,rarely
trash,bin,a,a,almost always
honey,bee,a,a,rarely
yellow,honey,,,almost always
pinky,toe,a,a,always
bright,colors,a,a,sometimes
red,truck,a,a,sometimes
rail,road,a,a,never
hot,date,a,a,almost always
light,grate,a,a,almost always
dead,cereal,,,never
letter,factory,a,a,never
baby,animal,an,a,sometimes
yellow,lemonade,,,almost always
green,paint,,,rarely
lawn,mower,a,a,almost always
tape,head,a,a,often
dill,pickle,a,a,about half the time
chocolate,frog,a,a,never
mud,pit,a,a,sometimes
green,grey,,,rarely
rusty,nail,a,a,almost always
text,book,a,a,often
sunny,road,a,a,almost always
hand,motor,a,a,rarely
machine,smock,a,a,always
lego,boy,a,a,rarely
film,star,a,a,rarely
sugar,mama,a,a,rarely
baby,ice,,,always
red,shirt,a,a,rarely
paint,tray,a,a,rarely
fat,finger,a,a,rarely
umbrella,stick,a,an,rarely
orange,apple,an,an,never
toddler,toy,a,a,about half the time
mama,bear,a,a,almost always
sugar,cookie,a,a,about half the time
pink,limousine,a,a,rarely
yellow,butterfly,a,a,sometimes
round,side,a,a,never
turtle,brown,,,about half the time
ball,bat,a,a,about half the time
pussy,hair,,,almost always
puppy,blanket,a,a,about half the time
dead,bug,a,a,almost always
color,circle,a,a,sometimes
hot,oil,,,almost always
rope,walker,a,a,never
walking,boot,a,a,never
bird,bath,a,a,never
family,exercise,an,a,always
key,chain,a,a,almost always
dressing,room,a,a,rarely
round,egg,an,a,always
meat,sandwich,a,a,about half the time
kissing,hand,a,a,almost always
fish,bowl,a,a,rarely
bubble,flavor,a,a,never
spider,leg,a,a,sometimes
lego,person,a,a,never
railway,line,a,a,never
marble,flooring,,,sometimes
veggie,cheese,,,rarely
mail,box,a,a,rarely
gum,drop,a,a,almost always
fish,eye,an,a,never
bear,hunter,a,a,rarely
mutant,toy,a,a,never
birth,month,a,a,always
purple,balloon,a,a,rarely
purple,phone,a,a,rarely
floor,board,a,a,often
brother,chick,a,a,always
hot,bag,a,a,rarely
record,player,a,a,always
pink,whale,a,a,never
dirty,milk,,,about half the time
frog,girl,a,a,rarely
cream,truck,a,a,almost always
feather,painting,a,a,rarely
outside,shoe,a,an,almost always
red,piece,a,a,about half the time
strawberry,chocolate,,,rarely
braid,hair,,,never
orange,sugar,,,rarely
face,cake,a,a,rarely
net,curtain,a,a,almost always
lady,toy,a,a,sometimes
pink,cap,a,a,sometimes
breaking,limb,a,a,never
red,tree,a,a,never
daddy,cow,a,a,always
painting,bib,a,a,rarely
broken,tool,a,a,rarely
circus,police,,,never
silky,thread,a,a,rarely
pink,dress,a,a,rarely
crusty,top,a,a,rarely
brown,shorts,,,sometimes
baby,goat,a,a,rarely
fat,milk,,,sometimes
foil,tray,a,a,sometimes
prize,game,a,a,never
vitamin,pill,a,a,rarely
dark,lollipop,a,a,rarely
sea,picture,a,a,sometimes
purple,pepper,a,a,rarely
breakfast,cereal,,,almost always
milk,mustache,a,a,rarely
red,wine,,,often
red,milk,,,never
fruit,stall,a,a,often
fuzzy,flower,a,a,never
hot,cloth,a,a,sometimes
junction,box,a,a,sometimes
yellow,bus,a,a,often
music,hall,a,a,always
cooking,breakfast,a,a,sometimes
fish,game,a,a,rarely
girl,deer,a,a,about half the time
purple,puppy,a,a,never
brake,drum,a,a,always
yogurt,juice,,,never
baby,owl,an,a,rarely
bakery,bread,,,sometimes
cheese,slice,a,a,sometimes
table,leg,a,a,about half the time
turtle,orange,an,a,never
conveyor,belt,a,a,rarely
fat,marker,a,a,rarely
snow,fight,a,a,rarely
fishing,hole,a,a,often
burnt,rubber,,,rarely
hot,honey,,,rarely
snow,night,a,a,rarely
hot,sausage,a,a,almost always
round,clock,a,a,almost always
pear,tree,a,a,rarely
green,stool,a,a,sometimes
pink,stair,a,a,rarely
carat,ring,a,a,often
fur,coat,a,a,rarely
skate,boarding,,,often
fold,laundry,,,always
closet,chair,a,a,never
giant,belt,a,a,rarely
library,tray,a,a,rarely
pink,tool,a,a,rarely
magazine,rack,a,a,often
car,station,a,a,rarely
sea,turtle,a,a,rarely
material,flower,a,a,never
baby,seal,a,a,rarely
pirate,costume,a,a,sometimes
cow,boy,a,a,often
yellow,paint,,,rarely
toy,baby,a,a,never
solid,tape,a,a,always
yellow,balloon,a,a,rarely
wet,face,a,a,sometimes
orange,hamster,a,an,often
green,hair,,,rarely
water,kitty,a,a,rarely
hot,pattern,a,a,never
purple,dude,a,a,never
hot,fan,a,a,almost always
bottom,jaw,a,a,about half the time
gold,bag,a,a,rarely
stud,dog,a,a,always
purple,wiggle,a,a,rarely
bright,tomato,a,a,almost always
night,raccoon,a,a,almost always
marmalade,fish,a,a,rarely
wedding,ring,a,a,sometimes
twin,room,a,a,often
wiggle,worm,a,a,always
breakfast,egg,an,a,about half the time
fishing,rod,a,a,almost always
yellow,cup,a,a,rarely
foam,piece,a,a,rarely
aluminum,rod,a,an,about half the time
plastic,tray,a,a,often
gas,mask,a,a,rarely
yellow,wing,a,a,rarely
hot,ice,,,never
paint,shirt,a,a,sometimes
red,shoe,a,a,rarely
coffee,break,a,a,often
cuckoo,clock,a,a,rarely
girl,cup,a,a,never
toucan,bird,a,a,rarely
green,pencil,a,a,rarely
family,feast,a,a,often
circus,bus,a,a,rarely
money,machine,a,a,rarely
elephant,brooch,a,an,rarely
elephant,crying,,,rarely
spiral,grip,a,a,almost always
furry,cat,a,a,almost always
baby,cup,a,a,rarely
paper,cut,a,a,rarely
toy,bag,a,a,rarely
car,carrier,a,a,always
tree,top,a,a,rarely
fat,cat,a,a,sometimes
suction,cup,a,a,rarely
red,licorice,,,sometimes
wet,suit,a,a,rarely
hot,car,a,a,almost always
outside,piece,a,an,about half the time
pink,suit,a,a,rarely
tennis,racket,a,a,often
green,cookie,a,a,rarely
flying,dragon,a,a,never
dog,dance,a,a,rarely
bunny,jumping,,,always
ultrasound,picture,a,an,rarely
sliced,potato,a,a,almost always
giant,tower,a,a,almost always
male,lead,a,a,almost always
velvet,slipper,a,a,rarely
frog,jump,a,a,rarely
push,bike,a,a,almost always
face,guy,a,a,rarely
ant,block,a,an,rarely
tile,floor,a,a,often
bouncing,spot,a,a,never
turtle,hat,a,a,rarely
plastic,truck,a,a,rarely
baby,eagle,an,a,rarely
red,ocean,an,a,never
ball,man,a,a,never
wet,road,a,a,often
furry,coach,a,a,always
red,bracelet,a,a,never
red,candy,,,sometimes
shower,curtain,a,a,rarely
jacket,top,a,a,never
cough,drop,a,a,sometimes
fish,egg,an,a,never
picnic,table,a,a,rarely
elf,talk,a,an,never
one,piece,a,a,rarely
yellow,ribbon,a,a,rarely
yellow,feather,a,a,rarely
red,juice,,,sometimes
worm,poop,,,rarely
home,page,a,a,almost always
strawberry,yogurt,,,sometimes
triangle,toast,,,never
sperm,cell,a,a,never
puppy,print,a,a,sometimes
bottom,light,a,a,always
red,gym,a,a,rarely
green,carrot,a,a,rarely
yellow,knee,a,a,never
purple,footprint,a,a,never
hot,shake,a,a,rarely
teddy,home,a,a,always
twin,tub,a,a,almost always
diaper,baby,a,a,almost always
back,plate,a,a,never
hot,piece,a,a,rarely
red,bottom,a,a,always
red,tongue,a,a,almost always
ball,bunny,a,a,always
red,green,,,never
bear,growl,a,a,sometimes
door,speaker,a,a,never
purple,room,a,a,rarely
prawn,cocktail,a,a,rarely
boy,bed,a,a,sometimes
brown,sweater,a,a,rarely
chocolate,cookie,a,a,often
surface,dwelling,a,a,almost always
purple,jacket,a,a,rarely
red,snake,a,a,rarely
mommy,cup,a,a,never
octopus,spying,,,rarely
animal,picture,a,an,sometimes
pond,deer,a,a,never
children,slip,a,a,almost always
dark,pink,,,almost always
army,man,a,an,sometimes
bean,bag,a,a,rarely
dirty,mouse,a,a,sometimes
sweatshirt,top,a,a,sometimes
tuna,fish,a,a,rarely
night,sign,a,a,almost always
burger,bar,a,a,always
penguin,body,a,a,rarely
cream,chocolate,,,about half the time
dolphin,show,a,a,about half the time
hot,wax,,,never
wet,spot,a,a,rarely
furry,gorilla,a,a,always
stuffed,puppy,a,a,always
scout,badge,a,a,about half the time
blowing,kiss,a,a,always
dead,leaf,a,a,rarely
thick,noodle,a,a,sometimes
bubble,blower,a,a,almost always
purple,bird,a,a,rarely
brown,tree,a,a,rarely
fire,station,a,a,almost always
mama,rabbit,a,a,rarely
square,box,a,a,almost always
garbage,truck,a,a,rarely
red,oval,an,a,about half the time
bank,manager,a,a,rarely
top,lip,a,a,about half the time
red,butterfly,a,a,sometimes
farm,book,a,a,sometimes
welding,rod,a,a,often
nylon,bag,a,a,sometimes
purple,ear,an,a,never
ballet,slipper,a,a,rarely
ball,mitt,a,a,sometimes
boy,mouth,a,a,sometimes
sycamore,tree,a,a,rarely
wet,shirt,a,a,rarely
roll,marble,a,a,always
giant,ball,a,a,rarely
purple,cow,a,a,never
poison,rattlesnake,a,a,almost always
color,green,,,always
cupboard,door,a,a,sometimes
brown,piece,a,a,rarely
singing,contest,a,a,rarely
yellow,head,a,a,rarely
furry,teddy,a,a,almost always
dirty,corner,a,a,sometimes
dish,wash,a,a,always
bright,crayon,a,a,about half the time
concrete,path,a,a,often
green,block,a,a,about half the time
wet,panty,a,a,always
railroad,track,a,a,almost always
ninja,turtle,a,a,rarely
green,bed,a,a,rarely
heart,muscle,a,a,rarely
purple,salad,a,a,rarely
foot,piece,a,a,rarely
baby,jogger,a,a,never
street,car,a,a,always
hall,closet,a,a,sometimes
yellow,chair,a,a,rarely
furry,costume,a,a,rarely
soap,bottle,a,a,rarely
grey,shorts,,,often
mommy,bear,a,a,rarely
blind,spot,a,a,always
purple,kangaroo,a,a,never
house,beam,a,a,about half the time
castle,book,a,a,rarely
rectangle,book,a,a,almost always
sand,block,a,a,sometimes
cement,truck,a,a,rarely
grey,cat,a,a,about half the time
oven,mitt,a,an,always
fruit,shop,a,a,rarely
muscle,man,a,a,rarely
giant,gorilla,a,a,never
shadow,line,a,a,about half the time
strawberry,patch,a,a,always
movie,theater,a,a,about half the time
cat,litter,,,often
snow,melt,a,a,often
dark,light,a,a,rarely
elephant,book,a,an,never
yellow,cartridge,a,a,rarely
food,card,a,a,never
round,hoop,a,a,always
pink,sand,,,rarely
yellow,box,a,a,sometimes
light,beam,a,a,never
fish,sticker,a,a,rarely
baby,alarm,an,a,always
foot,radiator,a,a,always
foot,pruner,a,a,never
raspberry,patch,a,a,sometimes
pine,tree,a,a,never
purple,cap,a,a,rarely
block,house,a,a,rarely
ant,trap,a,an,rarely
orange,drop,a,an,never
wooden,track,a,a,rarely
petrol,tank,a,a,almost always
caramel,cluster,a,a,always
shrub,border,a,a,about half the time
pointy,tip,a,a,almost always
car,park,a,a,rarely
aphid,sandwich,a,an,never
yellow,neon,,,almost always
bubble,world,a,a,never
yellow,horse,a,a,rarely
ostrich,leg,a,an,rarely
