adjective,noun,article,adj_article,llama_base_judgment
movie,channel,a,a,sometimes
dune,buggy,a,a,never
yellow,green,,,sometimes
red,pig,a,a,never
exterior,light,a,an,almost always
plastics,company,a,a,rarely
yellow,chalk,,,often
baby,clothes,,,about half the time
park,parade,a,a,rarely
bike,ride,a,a,almost always
car,seat,a,a,almost always
hot,doggy,a,a,rarely
pink,sock,a,a,often
green,dress,a,a,almost always
sea,shell,a,a,almost always
copy,cat,a,a,sometimes
yellow,square,a,a,rarely
wall,drawer,a,a,always
maple,sugar,,,rarely
snow,hill,a,a,never
sky,color,a,a,sometimes
day,school,a,a,often
vanilla,wafer,a,a,sometimes
peacock,feather,a,a,almost always
flat,fish,a,a,rarely
garden,sign,a,a,often
cream,cheese,,,often
hair,barrette,a,a,always
orange,zebra,a,an,often
bear,tooth,a,a,never
cheese,sauce,,,about half the time
blood,checker,a,a,always
bright,leaf,a,a,almost always
brown,ale,an,a,about half the time
red,sifter,a,a,almost always
color,leg,a,a,about half the time
purple,light,a,a,rarely
wrap,present,a,a,about half the time
frozen,lip,a,a,always
puppy,bark,a,a,about half the time
letter,side,a,a,almost always
model,girl,a,a,almost always
horse,shoeing,a,a,about half the time
coal,block,a,a,never
green,triangle,a,a,about half the time
red,cap,a,a,rarely
rectangle,door,a,a,often
purple,submarine,a,a,never
orange,bud,a,an,rarely
mommy,parrot,a,a,always
belly,button,a,a,never
round,carpet,a,a,rarely
orange,noodle,a,an,almost always
baby,tooth,a,a,always
plastic,lid,a,a,often
rain,umbrella,an,a,almost always
shore,island,an,a,rarely
brown,guy,a,a,sometimes
cigarette,smoking,,,often
green,pea,a,a,almost always
bear,cookie,a,a,rarely
picnic,blanket,a,a,rarely
tobacco,jar,a,a,often
baby,girl,a,a,always
outside,toy,a,an,almost always
pointy,fish,a,a,sometimes
shoe,rack,a,a,never
bubble,game,a,a,never
head,pirate,a,a,often
web,site,a,a,almost always
gold,medal,a,a,rarely
brake,dust,,,never
mama,deer,a,a,almost always
bicycle,store,a,a,rarely
orange,peach,a,an,often
red,seat,a,a,rarely
hay,stack,a,a,almost always
brown,trunk,a,a,often
brush,handle,a,a,often
family,room,a,a,often
orange,letter,a,an,never
grassy,field,a,a,often
fish,fin,a,a,often
stegosaurus,strike,a,a,about half the time
knight,costume,a,a,sometimes
executive,committee,a,an,rarely
potato,scoop,a,a,never
red,star,a,a,almost always
cannon,ball,a,a,never
flat,house,a,a,almost always
trash,can,a,a,rarely
yellow,blanket,a,a,sometimes
green,shovel,a,a,sometimes
cardboard,house,a,a,rarely
round,wall,a,a,rarely
red,edge,an,a,never
orange,train,a,an,almost always
wooden,leg,a,a,rarely
pink,bottle,a,a,never
tip,toe,a,a,often
purple,crayon,a,a,often
building,marker,a,a,rarely
red,card,a,a,never
mommy,hand,a,a,always
tea,pickle,a,a,never
baby,alligator,an,a,about half the time
jelly,bagel,a,a,always
hot,stove,a,a,sometimes
cable,run,a,a,almost always
purple,reindeer,a,a,almost always
yellow,roller,a,a,rarely
green,yogurt,,,sometimes
grey,label,a,a,sometimes
pink,scarf,a,a,sometimes
hairless,cat,a,a,rarely
hand,washing,,,often
teen,movie,a,a,often
fuel,tank,a,a,sometimes
brown,monkey,a,a,almost always
red,pea,a,a,never
apple,core,a,an,often
walking,stick,a,a,sometimes
fuzzy,blanket,a,a,often
wet,hand,a,a,about half the time
red,bow,a,a,often
slave,driver,a,a,almost always
yellow,leg,a,a,rarely
organ,pipe,a,an,rarely
farmer,man,a,a,sometimes
pink,rectangle,a,a,sometimes
ear,hole,a,an,often
ice,box,a,an,never
yogurt,raisin,a,a,sometimes
pink,lip,a,a,about half the time
grey,cap,a,a,never
orange,button,a,an,never
dark,glasses,,,about half the time
top,model,a,a,often
floor,tiling,,,almost always
fruit,cake,a,a,rarely
squirt,guns,a,a,never
pencil,case,a,a,almost always
purple,shovel,a,a,sometimes
red,rod,a,a,sometimes
yellow,triangle,a,a,rarely
red,leaf,a,a,almost always
red,square,a,a,sometimes
dark,yard,a,a,often
dance,floor,a,a,rarely
furry,puppy,a,a,always
orange,container,a,an,sometimes
daddy,picture,a,a,rarely
pickle,sandwich,a,a,rarely
station,sign,a,a,about half the time
sweet,packet,a,a,almost always
bright,hair,,,almost always
fire,engine,an,a,almost always
whale,shark,a,a,often
bald,eagle,an,a,rarely
square,piece,a,a,often
cream,sandwich,a,a,rarely
locked,door,a,a,almost always
yellow,elephant,an,a,rarely
bubble,clown,a,a,sometimes
toy,board,a,a,often
scout,tent,a,a,often
yellow,piggie,a,a,sometimes
green,fish,a,a,never
giant,one,a,a,about half the time
market,day,a,a,about half the time
school,call,a,a,sometimes
acid,soil,,,often
sweet,person,a,a,about half the time
quarter,motor,a,a,never
granola,bar,a,a,always
bunny,hole,a,a,never
wine,purse,a,a,never
freeze,tag,a,a,sometimes
yellow,colors,a,a,often
boy,drink,a,a,sometimes
finger,food,,,sometimes
purple,ark,an,a,rarely
boat,singing,,,never
bloody,day,a,a,rarely
pottery,room,a,a,never
chicken,mushroom,a,a,almost always
giant,potato,a,a,sometimes
color,orange,an,a,almost always
round,glasses,,,often
wildlife,park,a,a,about half the time
child,seat,a,a,rarely
sweet,home,a,a,often
hair,day,a,a,rarely
dozen,egg,an,a,rarely
doggy,bin,a,a,always
dinosaur,blanket,a,a,never
wall,light,a,a,often
school,playground,a,a,about half the time
red,bead,a,a,never
paper,boy,a,a,sometimes
purple,worm,a,a,about half the time
sleep,walking,,,never
dirty,car,a,a,often
blind,mommy,a,a,sometimes
sugar,spoon,a,a,always
key,lock,a,a,never
dirty,pillow,a,a,rarely
kitchen,light,a,a,almost always
night,cream,,,never
round,tablet,a,a,sometimes
tennis,ball,a,a,never
green,scissors,,,never
grilled,cheese,,,almost always
rainbow,parrot,a,a,rarely
pool,table,a,a,rarely
call,box,a,a,never
female,crab,a,a,about half the time
board,book,a,a,often
bridesmaid,dress,a,a,rarely
oatmeal,breakfast,a,an,sometimes
teddy,snack,a,a,rarely
red,cone,a,a,rarely
cheese,sandwich,a,a,always
mama,duck,a,a,often
round,penny,a,a,often
chain,saw,a,a,rarely
holly,leaf,a,a,almost always
ginger,wine,,,never
flat,floor,a,a,sometimes
woman,sitting,a,a,always
kettle,boiling,,,often
grassy,piece,a,a,often
flower,border,a,a,almost always
yellow,star,a,a,about half the time
oil,taste,a,an,about half the time
orange,taste,a,an,often
steam,roller,a,a,never
jazz,band,a,a,often
fish,net,a,a,often
baby,dinosaur,a,a,rarely
furry,duck,a,a,never
dance,room,a,a,often
green,diamond,a,a,rarely
alligator,green,,,about half the time
soy,milk,,,rarely
fuzzy,poodle,a,a,almost always
girl,toy,a,a,never
orange,tower,a,an,rarely
red,face,a,a,rarely
shot,guns,a,a,rarely
music,box,a,a,rarely
fat,leg,a,a,rarely
yellow,pail,a,a,often
baking,bread,,,never
cocktail,bar,a,a,sometimes
pirate,beard,a,a,rarely
red,hair,,,rarely
drum,body,a,a,rarely
hand,dress,a,a,never
breakfast,bar,a,a,almost always
dough,rise,a,a,often
seedless,grape,a,a,almost always
television,licence,a,a,always
toy,soldier,a,a,about half the time
woman,show,a,a,about half the time
dark,brown,,,almost always
frog,umbrella,an,a,never
wing,color,a,a,sometimes
flip,flop,a,a,sometimes
green,honey,,,never
strawberry,milk,,,rarely
dark,food,,,rarely
wet,baby,a,a,almost always
bunny,show,a,a,rarely
giant,seal,a,a,rarely
snack,honey,,,sometimes
ferry,boat,a,a,rarely
pink,juice,,,often
school,day,a,a,about half the time
navy,sweater,a,a,always
milk,bottle,a,a,almost always
pirate,station,a,a,almost always
yellow,shovel,a,a,rarely
flower,seed,a,a,never
picnic,basket,a,a,rarely
fish,song,a,a,rarely
orange,finger,a,an,about half the time
paint,stamping,,,about half the time
bright,child,a,a,always
round,knob,a,a,sometimes
attic,bedroom,a,an,sometimes
orange,collection,a,an,rarely
driving,horse,a,a,always
thick,one,a,a,often
fish,cake,a,a,rarely
plastic,edging,,,rarely
outside,building,a,an,often
pie,baking,,,often
giant,dog,a,a,often
singing,song,a,a,sometimes
cat,food,,,often
office,clerk,a,an,almost always
guitar,player,a,a,sometimes
dark,purple,,,never
fire,pole,a,a,often
sweat,shirt,a,a,never
iron,board,a,an,never
wooden,stair,a,a,often
pink,lipstick,,,always
green,container,a,a,never
bubble,gun,a,a,often
yellow,airplane,an,a,sometimes
yellow,lion,a,a,rarely
back,leg,a,a,almost always
leg,bone,a,a,almost always
salad,sandwich,a,a,rarely
red,gate,a,a,about half the time
orange,eye,an,an,almost always
girl,potty,a,a,often
dinosaur,arm,an,a,sometimes
orange,boat,a,an,never
yellow,marker,a,a,rarely
whey,curd,a,a,always
fat,piggie,a,a,almost always
red,box,a,a,rarely
office,girl,a,an,sometimes
gold,sky,a,a,sometimes
electronics,firm,a,an,often
chair,seat,a,a,often
dirty,guy,a,a,often
metallic,bronze,,,almost always
yellow,arrow,an,a,never
owl,book,a,an,rarely
juice,box,a,a,sometimes
sweet,granny,a,a,almost always
dirty,spoon,a,a,sometimes
snow,falling,,,often
dark,woods,,,about half the time
pink,door,a,a,rarely
mermaid,leg,a,a,rarely
fat,guy,a,a,about half the time
wooden,shoe,a,a,never
pink,lemonade,,,almost always
show,office,an,a,never
dolly,guy,a,a,never
green,jelly,,,rarely
shoe,museum,a,a,always
assistant,manager,a,an,about half the time
green,vacuum,a,a,rarely
yellow,track,a,a,rarely
skunk,salad,a,a,sometimes
circle,piece,a,a,sometimes
top,side,a,a,about half the time
water,pill,a,a,almost always
traffic,light,a,a,about half the time
puppy,guy,a,a,about half the time
pink,sandal,a,a,about half the time
kitty,litter,,,almost always
frown,face,a,a,sometimes
grey,beard,a,a,about half the time
gold,cap,a,a,almost always
dead,brain,a,a,about half the time
stand,point,a,a,about half the time
bear,pants,,,almost always
lunch,plate,a,a,sometimes
candy,dish,a,a,about half the time
bunny,mama,a,a,often
green,paper,a,a,rarely
mommy,baby,a,a,often
octopus,tentacle,a,an,often
slide,honey,,,almost always
yellow,bin,a,a,rarely
fat,girl,a,a,about half the time
draw,prize,a,a,often
round,hole,a,a,about half the time
fire,side,a,a,about half the time
grilled,sandwich,a,a,often
purple,screw,a,a,rarely
flat,one,a,a,rarely
rain,shower,a,a,rarely
wooden,trough,a,a,sometimes
road,racing,,,about half the time
orange,grey,,,never
daddy,dinosaur,a,a,never
shop,floor,a,a,rarely
potato,salad,a,a,rarely
gold,necklace,a,a,about half the time
family,day,a,a,about half the time
mommy,talk,a,a,often
throw,pillow,a,a,almost always
baby,powder,,,about half the time
spray,bubble,a,a,sometimes
pink,purse,a,a,never
onion,sandwich,a,an,rarely
rum,truffle,a,a,almost always
pink,leg,a,a,sometimes
kid,book,a,a,never
leather,case,a,a,about half the time
orange,hand,a,an,rarely
green,tea,,,rarely
giant,fire,,,almost always
book,sticker,a,a,rarely
lollipop,wand,a,a,never
forty,eight,an,a,almost always
gram,jar,a,a,never
coffee,pot,a,a,often
tile,pattern,a,a,about half the time
green,truck,a,a,often
baby,dish,a,a,never
cloth,heart,a,a,almost always
fruit,punch,a,a,about half the time
dark,ring,a,a,never
green,eel,an,a,almost always
hamburger,meat,,,never
back,hoe,a,a,rarely
hot,tank,a,a,never
yellow,shelf,a,a,rarely
purple,pear,a,a,rarely
sweet,shrimp,,,almost always
mud,pot,a,a,about half the time
bell,sticker,a,a,rarely
brandy,butter,,,always
pink,car,a,a,rarely
spanking,spot,a,a,rarely
yellow,grey,,,rarely
ball,player,a,a,never
checkout,girl,a,a,almost always
cut,bread,,,rarely
plastic,wrap,a,a,sometimes
cooking,chocolate,,,rarely
orange,belt,a,an,rarely
purple,pickle,a,a,rarely
yellow,fat,,,almost always
wheat,cookie,a,a,about half the time
oyster,cracker,a,an,always
elephant,scale,a,an,never
yellow,cap,a,a,rarely
oval,piece,a,an,about half the time
flag,drawer,a,a,never
elephant,toy,a,an,rarely
grocery,list,a,a,almost always
red,diamond,a,a,never
outside,wind,,,almost always
sail,boat,a,a,never
round,wheel,a,a,almost always
bunny,slipper,a,a,never
hot,sandwich,a,a,sometimes
cub,group,a,a,sometimes
gym,shoe,a,a,about half the time
brother,bunny,a,a,always
orange,car,a,an,rarely
banana,sundae,a,a,rarely
ladies,mother,a,a,always
pirate,land,,,rarely
beetle,family,a,a,about half the time
door,casing,a,a,sometimes
mauve,ring,a,a,about half the time
hot,book,a,a,almost always
nut,juice,,,sometimes
octopus,talon,a,an,almost always
cash,book,a,a,always
motor,bridge,a,a,never
oatmeal,raisin,a,an,often
red,digger,a,a,often
page,boy,a,a,about half the time
metal,edge,an,a,often
top,butter,,,almost always
bright,boy,a,a,often
round,sun,,,always
car,tire,a,a,about half the time
gas,man,a,a,almost always
green,spoon,a,a,about half the time
hail,storm,a,a,never
yellow,noodle,a,a,about half the time
taller,tower,a,a,never
uniform,skirt,a,a,almost always
sunset,sky,a,a,about half the time
firework,factory,a,a,rarely
naked,girl,a,a,always
fish,stick,a,a,almost always
red,cow,a,a,never
pink,nose,a,a,almost always
fat,bird,a,a,about half the time
red,corner,a,a,almost always
green,hand,a,a,never
yellow,coat,a,a,rarely
forty,inch,an,a,often
pink,eye,an,a,never
pink,hippo,a,a,sometimes
stain,varnish,,,rarely
hot,blanket,a,a,never
house,spider,a,a,sometimes
swimming,pool,a,a,often
mama,hat,a,a,never
taller,ceiling,a,a,almost always
police,guard,a,a,sometimes
giant,sundial,a,a,often
putty,hand,a,a,sometimes
mud,trail,a,a,sometimes
circus,baby,a,a,rarely
furry,guy,a,a,almost always
oatmeal,bowl,a,an,sometimes
green,heart,a,a,rarely
sugar,fat,,,sometimes
orange,structure,a,an,always
hot,whisky,,,about half the time
outside,theater,a,an,rarely
grey,snow,,,almost always
phone,call,a,a,often
bug,book,a,a,never
charcoal,grill,a,a,almost always
stairs,toy,a,a,often
purple,sandbox,a,a,rarely
frog,hat,a,a,rarely
yellow,radiator,a,a,never
purple,chalk,,,rarely
green,turtle,a,a,about half the time
chocolate,dough,,,never
pink,edge,an,a,rarely
girl,bunny,a,a,almost always
tennis,shoe,a,a,rarely
pork,chop,a,a,sometimes
pillar,box,a,a,almost always
orange,juice,,,about half the time
plastic,wateringcan,a,a,almost always
pink,shirt,a,a,often
muffin,man,a,a,rarely
dragon,piece,a,a,almost always
bar,lounge,a,a,sometimes
baby,carrot,a,a,often
corn,cookie,a,a,rarely
cream,cone,a,a,never
mama,lion,a,a,almost always
plant,house,a,a,never
light,weight,a,a,often
bear,costume,a,a,often
cheese,bag,a,a,never
dirty,floor,a,a,never
yellow,crayon,a,a,sometimes
fish,seafood,,,almost always
picture,window,a,a,rarely
goldfish,jumping,,,never
bowler,hat,a,a,rarely
draw,ticket,a,a,about half the time
hive,bee,a,a,about half the time
smoke,tablet,a,a,never
baby,puppy,a,a,always
picture,card,a,a,never
child,person,a,a,almost always
green,tree,a,a,often
cheese,stick,a,a,about half the time
fork,lift,a,a,rarely
peach,cobbler,a,a,never
toast,cheese,,,rarely
purple,grey,,,sometimes
shoe,shop,a,a,never
orange,tractor,a,an,rarely
flat,box,a,a,rarely
yellow,lemon,a,a,often
toy,house,a,a,never
red,gravy,,,never
grill,pan,a,a,always
toy,block,a,a,almost always
bear,face,a,a,rarely
terrace,house,a,a,sometimes
red,plate,a,a,always
apple,pie,a,an,rarely
hot,food,,,often
wooden,box,a,a,about half the time
daddy,tiger,a,a,never
green,sword,a,a,rarely
fatty,lady,a,a,never
rain,forest,a,a,sometimes
jelly,bean,a,a,almost always
casserole,dish,a,a,often
baby,seat,a,a,almost always
butt,cheek,a,a,almost always
licorice,snack,a,a,rarely
green,box,a,a,never
hot,cream,,,sometimes
wood,chip,a,a,sometimes
cooking,meal,a,a,about half the time
round,puzzle,a,a,almost always
magnet,toy,a,a,never
sketchbook,pad,a,a,never
slippery,bug,a,a,never
phone,card,a,a,rarely
puzzle,game,a,a,almost always
sleeveless,suit,a,a,rarely
dark,orange,an,a,sometimes
camping,school,a,a,never
daddy,bear,a,a,almost always
fish,dinner,a,a,often
room,closet,a,a,almost always
purple,arm,an,a,never
calendar,date,a,a,never
pink,cookie,a,a,almost always
trash,bin,a,a,almost always
honey,bee,a,a,often
yellow,honey,,,often
pinky,toe,a,a,often
bright,colors,a,a,almost always
red,truck,a,a,rarely
rail,road,a,a,rarely
hot,date,a,a,often
light,grate,a,a,rarely
dead,cereal,,,almost always
letter,factory,a,a,rarely
baby,animal,an,a,sometimes
yellow,lemonade,,,always
green,paint,,,about half the time
lawn,mower,a,a,often
tape,head,a,a,about half the time
dill,pickle,a,a,almost always
chocolate,frog,a,a,rarely
mud,pit,a,a,never
green,grey,,,never
rusty,nail,a,a,sometimes
text,book,a,a,sometimes
sunny,road,a,a,sometimes
hand,motor,a,a,often
machine,smock,a,a,about half the time
lego,boy,a,a,often
film,star,a,a,rarely
sugar,mama,a,a,rarely
baby,ice,,,almost always
red,shirt,a,a,often
paint,tray,a,a,never
fat,finger,a,a,never
umbrella,stick,a,an,about half the time
orange,apple,an,an,never
toddler,toy,a,a,almost always
mama,bear,a,a,often
sugar,cookie,a,a,about half the time
pink,limousine,a,a,rarely
yellow,butterfly,a,a,almost always
round,side,a,a,rarely
turtle,brown,,,sometimes
ball,bat,a,a,rarely
pussy,hair,,,almost always
puppy,blanket,a,a,rarely
dead,bug,a,a,often
color,circle,a,a,often
hot,oil,,,often
rope,walker,a,a,sometimes
walking,boot,a,a,always
bird,bath,a,a,never
family,exercise,an,a,sometimes
key,chain,a,a,rarely
dressing,room,a,a,never
round,egg,an,a,about half the time
meat,sandwich,a,a,rarely
kissing,hand,a,a,about half the time
fish,bowl,a,a,rarely
bubble,flavor,a,a,almost always
spider,leg,a,a,about half the time
lego,person,a,a,almost always
railway,line,a,a,often
marble,flooring,,,rarely
veggie,cheese,,,rarely
mail,box,a,a,sometimes
gum,drop,a,a,about half the time
fish,eye,an,a,almost always
bear,hunter,a,a,about half the time
mutant,toy,a,a,sometimes
birth,month,a,a,rarely
purple,balloon,a,a,sometimes
purple,phone,a,a,never
floor,board,a,a,sometimes
brother,chick,a,a,rarely
hot,bag,a,a,rarely
record,player,a,a,never
pink,whale,a,a,sometimes
dirty,milk,,,rarely
frog,girl,a,a,rarely
cream,truck,a,a,never
feather,painting,a,a,never
outside,shoe,a,an,always
red,piece,a,a,often
strawberry,chocolate,,,never
braid,hair,,,almost always
orange,sugar,,,rarely
face,cake,a,a,rarely
net,curtain,a,a,often
lady,toy,a,a,almost always
pink,cap,a,a,almost always
breaking,limb,a,a,about half the time
red,tree,a,a,rarely
daddy,cow,a,a,never
painting,bib,a,a,about half the time
broken,tool,a,a,rarely
circus,police,,,sometimes
silky,thread,a,a,sometimes
pink,dress,a,a,almost always
crusty,top,a,a,rarely
brown,shorts,,,never
baby,goat,a,a,never
fat,milk,,,about half the time
foil,tray,a,a,always
prize,game,a,a,never
vitamin,pill,a,a,rarely
dark,lollipop,a,a,almost always
sea,picture,a,a,never
purple,pepper,a,a,rarely
breakfast,cereal,,,almost always
milk,mustache,a,a,rarely
red,wine,,,often
red,milk,,,rarely
fruit,stall,a,a,almost always
fuzzy,flower,a,a,rarely
hot,cloth,a,a,sometimes
junction,box,a,a,always
yellow,bus,a,a,sometimes
music,hall,a,a,about half the time
cooking,breakfast,a,a,often
fish,game,a,a,often
girl,deer,a,a,often
purple,puppy,a,a,rarely
brake,drum,a,a,sometimes
yogurt,juice,,,rarely
baby,owl,an,a,almost always
bakery,bread,,,often
cheese,slice,a,a,never
table,leg,a,a,never
turtle,orange,an,a,never
conveyor,belt,a,a,rarely
fat,marker,a,a,rarely
snow,fight,a,a,almost always
fishing,hole,a,a,sometimes
burnt,rubber,,,never
hot,honey,,,rarely
snow,night,a,a,never
hot,sausage,a,a,rarely
round,clock,a,a,about half the time
pear,tree,a,a,almost always
green,stool,a,a,rarely
pink,stair,a,a,never
carat,ring,a,a,rarely
fur,coat,a,a,rarely
skate,boarding,,,almost always
fold,laundry,,,often
closet,chair,a,a,rarely
giant,belt,a,a,rarely
library,tray,a,a,sometimes
pink,tool,a,a,rarely
magazine,rack,a,a,almost always
car,station,a,a,almost always
sea,turtle,a,a,never
material,flower,a,a,often
baby,seal,a,a,almost always
pirate,costume,a,a,often
cow,boy,a,a,about half the time
yellow,paint,,,rarely
toy,baby,a,a,never
solid,tape,a,a,often
yellow,balloon,a,a,about half the time
wet,face,a,a,almost always
orange,hamster,a,an,about half the time
green,hair,,,rarely
water,kitty,a,a,rarely
hot,pattern,a,a,sometimes
purple,dude,a,a,rarely
hot,fan,a,a,about half the time
bottom,jaw,a,a,often
gold,bag,a,a,rarely
stud,dog,a,a,often
purple,wiggle,a,a,almost always
bright,tomato,a,a,often
night,raccoon,a,a,often
marmalade,fish,a,a,almost always
wedding,ring,a,a,almost always
twin,room,a,a,about half the time
wiggle,worm,a,a,about half the time
breakfast,egg,an,a,often
fishing,rod,a,a,often
yellow,cup,a,a,almost always
foam,piece,a,a,never
aluminum,rod,a,an,almost always
plastic,tray,a,a,often
gas,mask,a,a,sometimes
yellow,wing,a,a,sometimes
hot,ice,,,never
paint,shirt,a,a,rarely
red,shoe,a,a,rarely
coffee,break,a,a,about half the time
cuckoo,clock,a,a,rarely
girl,cup,a,a,sometimes
toucan,bird,a,a,about half the time
green,pencil,a,a,almost always
family,feast,a,a,about half the time
circus,bus,a,a,rarely
money,machine,a,a,often
elephant,brooch,a,an,almost always
elephant,crying,,,almost always
spiral,grip,a,a,almost always
furry,cat,a,a,often
baby,cup,a,a,never
paper,cut,a,a,often
toy,bag,a,a,rarely
car,carrier,a,a,almost always
tree,top,a,a,sometimes
fat,cat,a,a,almost always
suction,cup,a,a,sometimes
red,licorice,,,almost always
wet,suit,a,a,rarely
hot,car,a,a,about half the time
outside,piece,a,an,often
pink,suit,a,a,almost always
tennis,racket,a,a,almost always
green,cookie,a,a,rarely
flying,dragon,a,a,sometimes
dog,dance,a,a,rarely
bunny,jumping,,,often
ultrasound,picture,a,an,almost always
sliced,potato,a,a,sometimes
giant,tower,a,a,rarely
male,lead,a,a,about half the time
velvet,slipper,a,a,rarely
frog,jump,a,a,always
push,bike,a,a,sometimes
face,guy,a,a,sometimes
ant,block,a,an,rarely
tile,floor,a,a,rarely
bouncing,spot,a,a,never
turtle,hat,a,a,never
plastic,truck,a,a,often
baby,eagle,an,a,almost always
red,ocean,an,a,almost always
ball,man,a,a,about half the time
wet,road,a,a,almost always
furry,coach,a,a,often
red,bracelet,a,a,rarely
red,candy,,,almost always
shower,curtain,a,a,often
jacket,top,a,a,often
cough,drop,a,a,often
fish,egg,an,a,sometimes
picnic,table,a,a,never
elf,talk,a,an,rarely
one,piece,a,a,never
yellow,ribbon,a,a,often
yellow,feather,a,a,about half the time
red,juice,,,always
worm,poop,,,rarely
home,page,a,a,often
strawberry,yogurt,,,about half the time
triangle,toast,,,almost always
sperm,cell,a,a,never
puppy,print,a,a,rarely
bottom,light,a,a,almost always
red,gym,a,a,often
green,carrot,a,a,rarely
yellow,knee,a,a,rarely
purple,footprint,a,a,never
hot,shake,a,a,always
teddy,home,a,a,never
twin,tub,a,a,never
diaper,baby,a,a,almost always
back,plate,a,a,sometimes
hot,piece,a,a,almost always
red,bottom,a,a,sometimes
red,tongue,a,a,about half the time
ball,bunny,a,a,often
red,green,,,almost always
bear,growl,a,a,often
door,speaker,a,a,about half the time
purple,room,a,a,sometimes
prawn,cocktail,a,a,never
boy,bed,a,a,almost always
brown,sweater,a,a,about half the time
chocolate,cookie,a,a,rarely
surface,dwelling,a,a,almost always
purple,jacket,a,a,never
red,snake,a,a,never
mommy,cup,a,a,almost always
octopus,spying,,,almost always
animal,picture,a,an,never
pond,deer,a,a,almost always
children,slip,a,a,often
dark,pink,,,rarely
army,man,a,an,sometimes
bean,bag,a,a,often
dirty,mouse,a,a,rarely
sweatshirt,top,a,a,almost always
tuna,fish,a,a,rarely
night,sign,a,a,about half the time
burger,bar,a,a,rarely
penguin,body,a,a,often
cream,chocolate,,,sometimes
dolphin,show,a,a,almost always
hot,wax,,,about half the time
wet,spot,a,a,sometimes
furry,gorilla,a,a,sometimes
stuffed,puppy,a,a,rarely
scout,badge,a,a,almost always
blowing,kiss,a,a,often
dead,leaf,a,a,almost always
thick,noodle,a,a,never
bubble,blower,a,a,sometimes
purple,bird,a,a,rarely
brown,tree,a,a,often
fire,station,a,a,almost always
mama,rabbit,a,a,almost always
square,box,a,a,almost always
garbage,truck,a,a,rarely
red,oval,an,a,rarely
bank,manager,a,a,almost always
top,lip,a,a,sometimes
red,butterfly,a,a,rarely
farm,book,a,a,rarely
welding,rod,a,a,always
nylon,bag,a,a,never
purple,ear,an,a,never
ballet,slipper,a,a,rarely
ball,mitt,a,a,almost always
boy,mouth,a,a,almost always
sycamore,tree,a,a,rarely
wet,shirt,a,a,never
roll,marble,a,a,about half the time
giant,ball,a,a,almost always
purple,cow,a,a,rarely
poison,rattlesnake,a,a,always
color,green,,,almost always
cupboard,door,a,a,almost always
brown,piece,a,a,often
singing,contest,a,a,almost always
yellow,head,a,a,rarely
furry,teddy,a,a,always
dirty,corner,a,a,always
dish,wash,a,a,almost always
bright,crayon,a,a,almost always
concrete,path,a,a,about half the time
green,block,a,a,sometimes
wet,panty,a,a,often
railroad,track,a,a,often
ninja,turtle,a,a,sometimes
green,bed,a,a,rarely
heart,muscle,a,a,almost always
purple,salad,a,a,rarely
foot,piece,a,a,sometimes
baby,jogger,a,a,rarely
street,car,a,a,never
hall,closet,a,a,sometimes
yellow,chair,a,a,sometimes
furry,costume,a,a,rarely
soap,bottle,a,a,never
grey,shorts,,,never
mommy,bear,a,a,almost always
blind,spot,a,a,almost always
purple,kangaroo,a,a,often
house,beam,a,a,rarely
castle,book,a,a,rarely
rectangle,book,a,a,about half the time
sand,block,a,a,sometimes
cement,truck,a,a,rarely
grey,cat,a,a,sometimes
oven,mitt,a,an,rarely
fruit,shop,a,a,sometimes
muscle,man,a,a,often
giant,gorilla,a,a,never
shadow,line,a,a,almost always
strawberry,patch,a,a,about half the time
movie,theater,a,a,almost always
cat,litter,,,almost always
snow,melt,a,a,sometimes
dark,light,a,a,rarely
elephant,book,a,an,rarely
yellow,cartridge,a,a,about half the time
food,card,a,a,almost always
round,hoop,a,a,almost always
pink,sand,,,almost always
yellow,box,a,a,never
light,beam,a,a,rarely
fish,sticker,a,a,never
baby,alarm,an,a,almost always
foot,radiator,a,a,rarely
foot,pruner,a,a,never
raspberry,patch,a,a,almost always
pine,tree,a,a,rarely
purple,cap,a,a,rarely
block,house,a,a,sometimes
ant,trap,a,an,always
orange,drop,a,an,always
wooden,track,a,a,rarely
petrol,tank,a,a,sometimes
caramel,cluster,a,a,almost always
shrub,border,a,a,rarely
pointy,tip,a,a,often
car,park,a,a,rarely
aphid,sandwich,a,an,never
yellow,neon,,,never
bubble,world,a,a,never
yellow,horse,a,a,rarely
ostrich,leg,a,an,always
coffee,grinder,a,a,almost always
skunk,stew,a,a,never
red,bat,a,a,rarely
video,recorder,a,a,rarely
wet,mommy,a,a,always
pita,bread,,,never
striped,worm,a,a,rarely
bum,worker,a,a,rarely
hot,day,a,a,almost always
silk,worm,a,a,never
fish,market,a,a,almost always
water,bridge,a,a,rarely
purple,fish,a,a,rarely
lace,cover,a,a,rarely
sugar,water,,,rarely
flat,mat,a,a,often
wife,battering,a,a,always
slippery,soap,,,often
paper,airplane,an,a,never
olive,oil,,,often
sweet,sauce,,,about half the time
blind,eye,an,a,rarely
people,zombie,a,a,almost always
bedroom,room,a,a,often
soy,sauce,,,often
sea,mammal,a,a,almost always
silky,ear,an,a,never
church,minister,a,a,never
red,paper,a,a,rarely
dirty,laundry,,,almost always
bubble,blow,a,a,sometimes
wooden,sword,a,a,rarely
